Not Fleshed Out,Name,Type,Subtype,Cost,Desc,Power,Toughness,,"""Does""","""Cares About""",CMC,Flavor Text,,Is Card,Is White,Is Blue,Is Black,Is Red,Is Green,Is Colorless,Is Gold,Is Enchantment,Is Creature,Is Artifact,Is Instant/Sorcery,Is Land
FALSE,Hunger for Magic,Enchantment ,,{2}{b/g},Sacrifice an enchantment: make a Food token. ,,,,Food,Enchantments,3,,,1,0,0,1,0,1,0,1,1,0,0,0,0
FALSE,Tap-Dancing Heron,Creature,Bird,{1}{u}{u},"Flying
Whenever a spell or ability you control would tap X creatures, you may give this creature +X/+X until end of turn instead.",3,1,,"Pump, Flying",Tap,3,,,1,0,1,0,0,0,0,0,0,1,0,0,0
FALSE,Spirit Spear,Instant,,{1}{w/g},"Destroy target enchantment.
Horde 2 - target creature you control gains protection from a color of the targeted enchantment or colorless if it has no color.",,,,"Removal, Protection, Horde",,2,,,1,1,0,0,0,1,0,1,0,0,0,1,0
FALSE,Carrion Bird,Creature,Bird,{1}{u/r},"Flying
Carrion Bird gets +X/+0, where X is the number of Birds in your graveyard.",2,1,,Flying,Graveyard,2,,,1,0,1,0,1,0,0,1,0,1,0,0,0
FALSE,Incendiary Canary,Creature,Bird,{1}{r/g},"Flying
Backup
{1}, {t}, sacrifice this creature: it deals damage equal to its converted mana cost to target creature.",1,1,,"Backup, Burn, Flying",,2,,,1,0,0,0,1,1,0,1,0,1,0,0,0
FALSE,Devoted Bombardier,Creature,Human Scout,{r}{r}{r},"When Devoted Bombardier enters the battlefield, it deals damage equal to your devotion to red equal to target creature. This ability cannot be countered or protected against by hexproof or protection.",1,1,,"Burn, ETB",Devotion,3,,,1,0,0,0,1,0,0,0,0,1,0,0,0
FALSE,Priest of the Corals,Creature,Human Cleric,{2}{w/u},"{2},{t}: Scry X for target player, where X is your devotion to white and blue.",1,3,,Scry,Devotion,3,,,1,1,1,0,0,0,0,1,0,1,0,0,0
FALSE,False Devotion,Sorcery,,{1}{p/b},"Until the end of your next end step, any time your devotion to anything is checked, it is considered 3 greater. (If something checks for devotion to two things, this bonus only applies to one of them.)",,,,Devotion,,2,,,1,0,0,1,0,0,0,0,0,0,0,1,0
FALSE,Tumor Priest,Creature,Human Cleric,{2}{b}{b},"Backup
When this creature dies, distribute +1/+1 counters equal to your devotion to black on any number of target creatures you control.",2,2,,"Backup, Counters, Dying",Devotion,4,,,1,0,0,1,0,0,0,0,0,1,0,0,0
FALSE,Cardboard Enthusiast,Creature,Human,{1},"When Cardboard Enthusiast enters the battlefield, create a colorless 1/1 construct creature token.
When Cardboard Enthusiast leaves the battlefield, discard a card if you control no tokens.",1,1,,"Tokens, Discard, ETB, LTB",Tokens,1,,,1,0,0,0,0,0,1,0,0,1,0,0,0
FALSE,Treacherous Tree Spirit,Enchantment Creature,Human Spirit,{2}{g},"Haste
When Treacherous Tree Spirit enters the battlefield, gain X life and put X charge counters on it, where X is your devotion to green.
When Treacherous Tree Spirit leaves the battlefield, if your devotion to green is less than the number of charge counters on it, you lose life equal to the difference.",5,3,,"Life gain, counters, ETB, LTB",Devotion,3,,,1,0,0,0,0,1,0,0,1,1,0,0,0
FALSE,Rolling Waves,Instant,,{1}{u},"Return up to X target creatures to their owners' hands, where X is your devotion to blue.
",,,,Bounce,Devotion,2,,,1,0,1,0,0,0,0,0,0,0,0,1,0
FALSE,Sea Horde,Creature,Spirit,{5}{u}{u},"Sea Horde costs X less to cast, where X is your devotion to blue.
Sea Horde's power and toughness are each equal to your devotion to blue.
Sea Horde has trample as long as your devotion to blue is at least 4.
",*,*,,,Devotion,7,,,1,0,1,0,0,0,0,0,0,1,0,0,0
FALSE,Holy Sniper,Enchantment Artifact,Equipment,{w/b}{w/b},"Equip {3}
Equipped creature has, ""{t}: deal X damage to target creature, where X is your devotion to white and black. Scry X for them.""",,,,"Scry, Tap",Devotion,2,"Blessed be my aim, thy devotion is unholy",,1,1,0,1,0,0,0,1,1,0,1,0,0
FALSE,Curse of Louis,Enchantment,,{3}{b/r},"Whenever a creature enters the battlefield, if it was cast, exile it from the battlefield and then return it to the battlefield under its owner's control.",,,,Flicker,ETB,4,Can you guys hear me? Op op its red *disconnect*,,1,0,0,1,1,0,0,1,1,0,0,0,0
FALSE,Speed Demon,Enchantment Creature,Demon Spirit,{2}{u/b},"Haste
As long as your devotion to blue and black is less than 4, Speed Demon isn't a creature.
You may cast sorcery spells as though they have flash.",4,2,,,"Devotion, Instants/Sorceries",3,,,1,0,1,1,0,0,0,1,1,1,0,0,0
FALSE,Oozing Oozer,Creature,Ooze,{2}{b/g},"Landfall - place a +1/+1 counter on this creature or a -1/-1 counter on target creature.
Horde 3 - whenever Oozing Oozer deals combat damage to a player, you make sacrifice a creature or artifact. If you do, make a tapped green Ooze token with power and toughness equal to Oozing Oozer's power.",1,1,,"Counters, Tokens, Horde, Landfall",Combat damage,3,OOZE OOZE OOZE OOZE,,1,0,0,1,0,1,0,1,0,1,0,0,0
FALSE,Abuse Momentum,Instant,,{u/r}{u/r},"Until end of turn, whenever target creature receives combat damage greater than its toughness, it deals that much damage to target creature, planeswalker, or battle.",,,,Burn,Combat damage,2,,,1,0,1,0,1,0,0,1,0,0,0,1,0
FALSE,Terra-Reformist,Creature,Human,{1}{r}{g},"Whenever Terra-Reformist attacks, you may pay {r}. If you do, search your library for a basic land and put it onto the battlefield tapped.",1,4,,"Ramp, Attacking, Searching",,3,,,1,0,0,0,1,1,0,1,0,1,0,0,0
FALSE,Juju Farmer,Creature,Beast,{2}{u/g},{t}: Add one mana of a color of a permanent you control.,3,3,,"Ramp, Tap",,3,,,1,0,1,0,0,1,0,1,0,1,0,0,0
FALSE,Fragment Horde,Enchantment Creature,Spirit,{4}{w}{w},"Whenever Fragment Horde attacks, make a token that's a copy of it tapped and attacking (the copy counts towards your devotion).
When Fragment Horde dies, gain X life and tap up to X permanents, where X to your devotion to white.",3,3,,"Life gain, tap, tokens, attacking, dying",Devotion,6,,,1,1,0,0,0,0,0,0,1,1,0,0,0
FALSE,Volcanic Horde,Enchantment Creature,Elemental,{6}{r}{r},"Trample
Horde 3 - creatures you control have, ""When this creature deals combat damage to a player, its controller adds {r} mana equal to their devotion to red.""
When Volcanic Horde leaves the battlefield, it deals damage to all creatures equal to your devotion to red.",9,7,,"Horde, ramp, burn, LTB","Devotion, Combat damage",8,,,1,0,0,0,1,0,0,0,1,1,0,0,0
FALSE,Divine Bullhorn,Artifact,Equipment,{1}{g}{g},"Equip {3} 
Horde 3 - Whenever equipped creature attacks, Cascade X, where X is your devotion to green. ",,,,"Horde, Cascade, attacking",Devotion,3,,,1,0,0,0,0,1,0,0,0,0,1,0,0
FALSE,Illusory Forces,Enchantment,,{1}{b}{b},Creatures you control with Horde abilities require 1 less creature to activate them. (The Horde requirement can't be below 1.),,,,,Horde,3,,,1,0,0,1,0,0,0,0,1,0,0,0,0
FALSE,Unruly Uprising,Sorcery,,{2}{p/w}{p/r},"Creature you control get +2/+2 and trample until end of turn. If life was paid to cast this spell, they get +2/+0 and trample instead.",,,,"Pump, lifeloss",,4,,,1,1,0,0,1,0,0,1,0,0,0,1,0
FALSE,Afterlife Leech,Enchantment Creature,Spirit Leech,{1}{b/g}{u/g},"Bestow {2}{b/g}{u/g} 
Lifelink 
Enchanted creature gets +1/+1 and has lifelink. 
At the beginning of your end step, if Afterlife Leech is attached to a creature, place a -1/-1 counter on it and a +1/+1 counter on Afterlife Leech. ",1,2,,"Bestow, counters, lifegain",,3,,,1,0,1,1,0,1,0,1,1,1,0,0,0
FALSE,Augmented Oracle,Creature,Cleric Weird,{u/r}{u/g},"{t}: Scry 1 for target player or deal 1 damage to target creature. Whenever a creature you control becomes modified, you may untap Augmented Oracle. ",2,2,,"Scry, tap","Enchantments, modified",2,,,1,0,1,0,1,1,0,1,0,1,0,0,0
TRUE,Just a Penguin,Creature,Construct,{3},"When Just a Penguin is dealt damage, flip a coin. If heads, sacrifice it. It deals 4 damage to target creature. If tails, every player gets a poison counter. ",3,1,,,,3,,,0,0,0,0,0,0,0,0,0,1,0,0,0
FALSE,Floral Fling,Instant ,,{r/g}{r/g},"As an additional cost to cast this spell, sacrifice a creature. Floral Fling deals damage equal to its power to any target. If its power was 3 or less, proliferate. ",,,,"Burn, Proliferate","Counters, dying",2,,,1,0,0,0,1,1,0,1,0,0,0,1,0
FALSE,Fortify,Sorcery,,{4},Create 2 colorless 0/3 Boulder artifact creature tokens with defender. ,,,,"Tokens, Boulders",,4,,,1,0,0,0,0,0,1,0,0,0,0,1,0
FALSE,Stone-Tosser Golem,Creature,Construct,{3}{2/g},"Reach
When Stone-Tosser Golem enters or whenever you sacrifice a land, create a colorless 0/3 Boulder artifact creature token with defender.
You may exert Stone-Tosser Golem as it attacks. When you do, you may sacrifice an artifact you control. If you do, Stone-Tosser Golem deals damage equal to the larger of the sacrificed permanent's toughness and converted mana cost to target creature, planeswalker, or battle.",3,4,,"Tokens, burn, exert, sacrifice, Boulders, ETB","Tokens, Artifacts, sacrifice",4,,,1,0,0,0,0,1,0,0,0,1,0,0,0
FALSE,Strength of the Age,Instant,,{2}{w}{w},"Convoke 
For each two creatures that convoked this spell, make a 1/1 white Soldier creature token with haste. 
Creatures you control get +X/+X until end of turn, where X is the number of cards named Strength of the Age in all graveyards plus one. ",,,,"Convoke, pump, tokens","Mass army, graveyard",4,,,1,1,0,0,0,0,0,0,0,0,0,1,0
FALSE,Monument to Chigerous,Artifact,Monument,{5},"At the end of your combat step, for each creature that could have attacked a permanent or player but did not, put a charge counter on Monument to Chigerous.
Remove charge counters:
- 4: Permanents you control gain indestructible and hexproof until end of turn. You gain 1 life.
- 6: Put a 1/1 white and black soldier creature token on the battlefield with, ""at the end of your combat step, if this creature could have attacked a permanent or player but did not, put a +1/+1 counter on it.
- 20, sacrifice Monument to Chigerous: deal 20 damage distributed among any number of target permanents.",,,,"Counters, protection, lifegain, tokens, burn","Counters, mass army ",5,,,1,0,0,0,0,0,1,0,0,0,1,0,0
FALSE,Pie-Thrower Runt,Creature,Demon,{1}{r},"{t}, sacrifice a token: Pie-Thrower Runt deals 2 damage to any target. If the token was a Food, gain 1 life.",0,2,,"Burn, lifegain, Tap",Food,2,"""That was definitely less than 5 seconds!""",,1,0,0,0,1,0,0,0,0,1,0,0,0
FALSE,Well-Travelled Alpakon,Creature,Alpaca,{w/g},"Backup
This creature gets +1/+1 so long as you control at least 2 basic lands with different types.",1,1,,Backup,Ramp,1,,,1,1,0,0,0,1,0,1,0,1,0,0,0
FALSE,Simple Alpakon,Creature,Alpaca,{1},"Backup
Sacrifice this creature: add one mana of any color and target creature gets +0/+1 until end of turn.",0,1,,"Backup, ramp",,1,,,1,0,0,0,0,0,1,0,0,1,0,0,0
FALSE,Mother Alpakon,Legendary Creature,Alpaca Giant,{X}{5}{w/g},"Reach, Trample
When Mother Alpaca enters, create X 0/1 colorless Alpaca creatures with ""Backup"" and ""Sacrifice this creature: add one mana of any color and target creature gets +0/+1 until end of turn."" Then gain X life.",6,5,,"Backup, tokens, lifegain, ETB",,6,,,1,1,0,0,0,1,0,1,0,1,0,0,0
FALSE,Frozen Dragon,Legendary Creature,Dragon,{4}{w/u}{w/b}{u/b},"Ward {1}
Frozen Dragon enters tapped with 2 stun counters on it if it was cast.
If Frozen Dragon would be dealt damage while it has a stun counter on it, remove a stun counter instead.
Whenever Frozen Dragon attacks, you may place up to 3 stun counters in any way on up to 3 target permanents. 
Islands you control have ""{1}, {t}: tap target permanent.""",8,8,,"Tap, counters, attacking, ETB",Tap,7,,,1,1,1,1,0,0,0,1,0,1,0,0,0
FALSE,Frozen Dragon's Eye,Sorcery,,{2}{u/b},"Until end of turn, whenever you scry one or more, you may tap or untap that many target creatures.",,,,Tap,Scry,3,,,1,0,1,1,0,0,0,1,0,0,0,1,0
FALSE,Regrets Take Flight,Instant,,{3}{u}{u},"Convoke
Target player mills 4 cards. Then place 4 -1/-1 counters on target creature they control.",,,,"Convoke, Mill, counters",,5,,,1,0,1,0,0,0,0,0,0,0,0,1,0
FALSE,Mossroamer,Creature,Ooze,{1}{b/g},"Deathtouch
When Mossroamer enters, you may search your library for a basic land, put it onto the battlefield tapped, and then shuffle your library.",1,1,,"Ramp, ETB",,2,,,1,0,0,1,0,1,0,1,0,1,0,0,0
FALSE,Regrowl,Enchantment Creature,Tiger Spirit,{2}{w/g}{b/g},"Bestow {2}{w/g}{b/g}
When Regrowl enters, if it is attached to a creature, you may return target creature that shares a color with enchanted creature from your graveyard under your control. If you do, you lose life equal to its mana cost.
Enchanted creature has first strike.
First strike",4,1,,"Bestow, ETB",Graveyard,4,,,1,1,0,1,0,1,0,1,1,1,0,0,0
FALSE,"Viss, the Dauntless",Legendary Creature,Warrior,{2}{w/r}{w/r},"Flash, Backup
Persist, First Strike",3,3,,"Backup, counters",,4,,,1,1,0,0,1,0,0,1,0,1,0,0,0
FALSE,Dream Reacher,Legendary Artifact,,{5}{p/u},"You may Cascade, Scry, Explore, and Surveil with any player's library whenever you would your own.
For each instance of an ability that you treat this way, place a time counter on Dream Reacher. Then if it has 7 or more time counters on it, sacrifice Dream Reacher and each player shuffles their graveyards and all cards they own in exile into their library.",,,,Counters,"Scry, Cascade, explore, surveil",6,,,1,0,1,0,0,0,0,0,0,0,1,0,0
FALSE,Dreamwalker,Enchantment Artifact Creature,Spirit Homunculus,{u},"When Dreamwalker enters, scry 1 for target player. 
You may look at the top card of any library at any time.",0,1,,"Scry, ETB",,1,,,1,0,1,0,0,0,0,0,1,1,1,0,0
FALSE,Call Out,Instant,,{u/r},"Choose a color or colorless. Target player reveals the top card of their library. If it was the chosen color (or indeed colorless), draw a card. You may draw another card. If you do, that player draws a card.",,,,"Card acceleration, deck reveal",Transparent,1,,,1,0,1,0,1,0,0,1,0,0,0,1,0
FALSE,Flicker Bolt,Instant,,{2}{u/r},Flicker Bolt deals 2 damage to target creature and flickers another target creature.,,,,"Burn, flicker",,3,,,1,0,1,0,1,0,0,1,0,0,0,1,0
FALSE,Spontaneous Bet,Instant,,{r}{g},"Target creature you control deals damage equal to its power to another target creature. If you control both creatures, create Treasures equal to the greater mana cost of the two.",,,,"Fight, tokens, ramp",,2,,,1,0,0,0,1,1,0,1,0,0,0,1,0
FALSE,Battlefield Confusion,Sorcery,,{r}{r},Each creature deals 1 damage to its controller and 1 damage to itself.,,,,Burn,Mass army,2,,,1,0,0,0,1,0,0,0,0,0,0,1,0
FALSE,"Bo, Bowtie Bowmaster",Legendary Creature,Alpaca Artificer,{4}{w}{w},"This spell costs {1} less to cast for each tapped nonland permanent you control.
Landfall - Tap target permanent, then untap target permanent.
Whenever you tap one or more creature as a cost for an activated ability, add {1}.
Untap Bo, tap 3 creatures you control: draw a card.",4,3,,"Tap,
Landfall, ramp, card acceleration",Tap,6,,,1,1,0,0,0,0,0,0,0,1,0,0,0
FALSE,End of Exam,Instant,,{3}{r},"Split Second
All creatures have haste.
Until end of turn, whenever a creature deals combat damage to a player, its controller may draw a card then discard a card.
Horde 3 - The first time a creature you control deals combat damage to a player this turn, you may draw a card.",,,,"Horde, Card Acceleration","Mass army, combat damage",4,,,1,0,0,0,1,0,0,0,0,0,0,1,0
FALSE,Birdcrank,Artifact,,{3}{p/b},"Tap a creature you control with power 3 or less: add {b}. Until end of turn, your devotion to black is considered 1 greater.
Sacrifice a creature, {t}: If your devotion to black is 10 or greater, tap all permanents target opponent controls.",,,,"Tap, Ramp",Devotion,4,,,1,0,0,1,0,0,0,0,0,0,1,0,0
FALSE,Gluttonous Mind,Enchantment,,{2}{u}{u},"Whenever a player sacrifices a Food, they draw a card.
At the beginning of each player's upkeep, they make a Food. Then, they lose 2 life unless their devotion to blue is at least 6.",,,,"Card Acceleration, Food","Devotion, Food",4,"Once you start knowing, you just can't stop. Just some food for thought.",,1,0,1,0,0,0,0,0,1,0,0,0,0
FALSE,Earned Wings,Sorcery,,{1}{u},"Up to X target creatures gain flying until end of turn, where X is your devotion to blue.
",,,,Flying,Devotion,2,,,1,0,1,0,0,0,0,0,0,0,0,1,0
FALSE,Stumbling Flight,Instant,,{2}{w/b},Exile target creature with flying or tapped creature. ,,,,Removal,"Flying, tap",3,,,1,1,0,1,0,0,0,1,0,0,0,1,0
FALSE,Fried Mascot,Artifact Creature,Food Chicken,{2}{2/r},"Whenever you sacrifice a food, Fried Mascot gets +2/-1 and gains flying until end of turn. 
{2}, {t}, sacrifice Fried Mascot: Gain 3 life. ",2,3,,"Food, Flying",Food,3,,,1,0,0,0,1,0,0,0,0,1,1,0,0
FALSE,Feeding Wraith,Creature,Ghoul,{2}{b},"Flying
When Feeding Wraith enters, destroy up to one target enchantment. If you do, make a Food.",3,2,,"Removal, food, tokens, ETB, Flying",,3,,,1,0,0,1,0,0,0,0,0,1,0,0,0
FALSE,Revel in Might,Instant,,{5}{g}{g},"Revel in Might costs X less to cast, where X is the greatest power among creatures you control. 
Target creature you control gains trample and +X/+0 until end of turn, and then fights up to two target creatures you don't control (simultaneously, as if they both blocked it). ",,,,"Pump, fight",Big creatures,7,,,1,0,0,0,0,1,0,0,0,0,0,1,0
FALSE,Diminishing Voices,Instant,,{b},"Target creature gets -2/-2 until end of turn. 
Horde 5 - target creature gets -5/-5 until end of turn instead.",,,,"Horde, removal",,1,,,1,0,0,1,0,0,0,0,0,0,0,1,0
FALSE,Unwilling Prodigy,Creature,Human Artificer,{2}{r},"Whenever you cast an instant or sorcery spell, you may copy that spell and choose new targets for the copy. If you do, you may return Unwilling Prodigy to its owner's hand. If you don't, put a -1/-1 counter on it. ",3,2,,Counters,Instants/Sorceries,3,,,1,0,0,0,1,0,0,0,0,1,0,0,0
FALSE,Deconstructor Agent,Creature,Dwarf Bird Goblin,{1}{u/r},"Duck - deal the next 3 damage that would be dealt to Deconstructor Agent this turn to the creature it's ducking behind.
Deconstructor Agent cannot be blocked by creatures with greater power. 
Whenever Deconstructor Agent deals combat damage to a player, destroy target artifact that player controls.",2,2,,"Duck, Removal, attacking",Combat damage,2,,,1,0,1,0,1,0,0,1,0,1,0,0,0
FALSE,Skitterjill,Creature,Dwarf Rabbit,{w},"Duck - deal the next 1 damage that would be dealt to Skitterjill this turn to the creature it's ducking behind.
Whenever a creature you control ducks, you gain 1 life.",1,1,,"Duck, Life gain",,1,,,1,1,0,0,0,0,0,0,0,1,0,0,0
FALSE,Heated Fifferjill,Creature,Dwarf Rabbit,{w}{w},"Duck - deal the next 1 damage that would be dealt to Heated Fifferjill this turn to the creature it's ducking behind.
Whenever Fifferjill ducks, you may pay {1} and place a stun counter on it. If you do, make a token that's a copy of it. ",2,2,,"Duck, Mass army, tokens, counters",,2,,,1,1,0,0,0,0,0,0,0,1,0,0,0
FALSE,Razing Wind,Sorcery,,{3}{w},"Tap all artifacts and return any number of creatures with combined mana value 4 or less to their owners' hands. Then Razing Wind deals 2 damage to all creatures. 
",,,,"bounce, tap, burn",,4,,,1,1,0,0,0,0,0,0,0,0,0,1,0
FALSE,March the Foothills,Sorcery,,{3}{g}{g},"You may flicker target creature you control with mana cost 6 or less.
Creatures you control get +X/+X and haste until end of turn, where X is the number of times creatures have entered the battlefield under you control this turn.",,,,"Flicker, Mass Army",Flicker,5,,,1,0,0,0,0,1,0,0,0,0,0,1,0
FALSE,Indecisive Threat,Sorcery,,{2}{b}{b},Target player splits the nonland permanents they control into two piles. You pick one and may flicker or destroy any number of permanents in that pile (you can only choose one for each permanent). You lose 1 life for each permanent destroyed this way.,,,,"Flicker, Mass removal, lifesloss",,4,,,1,0,0,1,0,0,0,0,0,0,0,1,0
FALSE,Condescending Dismissal,Instant,,{2}{u/b}{u/b},"Choose 1:
- Put target nonland permanent at the bottom of its owner's library.
- Destroy target creature or enchantment.",,,,Removal,,4,,,1,0,1,1,0,0,0,1,0,0,0,1,0
FALSE,Self-Deprecating Potz,Creature,Dwarf Imp,{2}{b/r},"Duck - deal the next 2 damage that would be dealt to Self-Deprecating Potz this turn to the creature it's ducking behind.
Prowess
Self-Deprecating Potz can't be blocked.
Whenever Self-Deprecating Potz ducks, you lose 1 life.",3,1,,"Duck, Prowess, lifeloss",,3,Geniuses don't usually think much of themselves.,,1,0,0,1,1,0,0,1,0,1,0,0,0
FALSE,Burrowing Moledon,Creature,Dinosaur Mole,{1}{r}{r},"Duck - Burrowing Moledon gains hexproof until end of turn.
First Strike
{t}: Make a colorless 0/3 Boulder artifact creature token with defender.",3,2,,Boulders,,3,,,1,0,0,0,1,0,0,0,0,1,0,0,0
FALSE,Rallying Wimp,Creature,Dwarf Imp,{1}{w/r}{b/r},"Duck - target creature Rallying Wimp is ducking behind gets +2/+0 until end of turn.
Creatures you control with duck have haste.",2,2,,Duck,Duck,3,,,1,1,0,1,1,0,0,1,0,1,0,0,0
FALSE,Mirthful Stomping,Sorcery,,{r}{r},"Mirthful Stomping deals 3 damage to up to 2 target creatures your opponents control.
Horde 4 - Mirthful Stomping deals 3 damage to up to 4 target creatures your opponents control instead.",,,,"Horde, Burn",,2,,,1,0,0,0,1,0,0,0,0,0,0,1,0
FALSE,Scatterbomb,Sorcery,,{X}{w/b}{g},Make X 1/1 green Rabbit Spider creature tokens with Duck (no effect).,,,,"Duck, Mass Army",,2,,,1,1,0,1,0,1,0,1,0,0,0,1,0
FALSE,Boulder Mine,Enchantment,Aura,{5},"Enchant Land
Enchanted land has, ""{1}, {t}: Make a colorless 0/3 Boulder artifact creature token with defender.""",,,,"Boulders, tap",,5,,,1,0,0,0,0,0,1,0,1,0,0,0,0
FALSE,Cobble Animator,Creature,Dwarf Artificer,{3}{r},"{1}{r}: Until end of turn, target Boulder loses defender and assigns combat damage based on its toughness.",4,4,,,"Boulders, Combat damage",4,,,1,0,0,0,1,0,0,0,0,1,0,0,0
FALSE,Reheat Offense,Instant,,{r}{r},"Target creature with defender deals damage equal to its toughness to target creature. Then, its controller sacrifices it.
Flashback {r}{r}",,,,"Removal, Flashback, Sacrifice",Defender,2,,,1,0,0,0,1,0,0,0,0,0,0,1,0
FALSE,Showcropper,Creature,Human Farmer Assassin,{3}{b},"Flash, Menace
When Showcropper enters, target creature gets -X/-X until end of turn, where X is the most life a player lost this turn.",5,4,,"Removal, ETB",Life loss,4,,,1,0,0,1,0,0,0,0,0,1,0,0,0
FALSE,Quad-Palm Jerry,Creature,Cyclops,{4}{b}{b},"Quad-Palm Jerry can block an additional creature.
{t}, sacrifice a creature with toughness 3 or less: Quad-Palm Jerry deals 2 damage to any target.",5,5,,"Burn, Tap, Blocking, Sacrifice",Small creatures,6,,,1,0,0,1,0,0,0,0,0,1,0,0,0
FALSE,Storm-Seed Fairy,Creature,Fairy,{1}{u}{u},"Flying 
Whenever this creature deals combat damage to a player, proliferate or place a -1/-1 counter on target creature.",2,2,,"Proliferate, Counters, Flying",Combat damage,3,,,1,0,1,0,0,0,0,0,0,1,0,0,0
FALSE,Cloak of Proliferation,Enchantment,Aura,{3}{u/g},"Enchant creature 
Whenever enchanted creature would be dealt damage, put a -0/-1 counter on it and proliferate instead. 
Whenever you would proliferate, proliferate that many times plus one instead.",,,,Counters,Proliferate,4,,,1,0,1,0,0,1,0,1,1,0,0,0,0
FALSE,Graveflood,Sorcery,,{5}{u/b},"Exile X cards from target player's graveyard, where X is at most your devotion to blue and black. Pick modes until the total cost adds to exactly X: 
1- gain 1 life. 
2- proliferate. 
4- you may cast one of the exiled cards until end of turn ",,,,"Proliferate, Life Gain, Graveyard",Devotion,6,,,1,0,1,1,0,0,0,1,0,0,0,1,0
FALSE,Feast of Waking Dreams,Instant,,{w/u}{u}{u/b},Target opponent discards a card. Then draw a card for each card a player discarded this turn.,,,,Discard,Discard,3,,,1,1,1,1,0,0,0,1,0,0,0,1,0
FALSE,Mob Momentum,Enchantment,,{2}{r}{r},Creatures you control get +1/+1 for each creature that entered this turn.,,,,"Pump, Mass Army",,4,,,1,0,0,0,1,0,0,0,1,0,0,0,0
FALSE,Hit the Ground Running,Enchantment,,{2}{r/g},"When Hit the Ground Running enters, you may search your library for a basic land and put it onto the battlefield tapped. 
Landfall - Place a 1/+1 counter on target creature that entered the battlefield this turn. It gains haste until end of turn. ",,,,"Landfall, Ramp, Counters, ETB",,3,,,1,0,0,0,1,1,0,1,1,0,0,0,0
FALSE,Composted Farmer,Creature,Zombie,{1}{b/g},"Undying
When Composted Farmer enters, you may play an additional land until end of turn. ",1,1,,"Ramp, Counters, ETB",,2,,,1,0,0,1,0,1,0,1,0,1,0,0,0
FALSE,Crankenstein,Legendary Creature,Zombie,{3}{b}{b},"Lifelink, Cascade 
{1}, {t}: Target player mills cards equal to Crankenstein's power.",3,5,,"Mill, Cascade, tap, lifegain",,5,,,1,0,0,1,0,0,0,0,0,1,0,0,0
